Date,Sales
2013-01-01,60541
2013-01-02,66064
2013-01-03,58120
2013-01-04,59205
2013-01-05,58703
2013-01-06,61571
2013-01-07,88111
2013-01-08,73535
2013-01-09,67415
2013-01-10,66911
2013-01-11,67730
2013-01-12,58680
2013-01-13,64639
2013-01-14,56597
2013-01-15,53256
2013-01-16,52363
2013-01-17,50875
2013-01-18,54559
2013-01-19,58893
2013-01-20,57227
2013-01-21,77130
2013-01-22,67851
2013-01-23,64789
2013-01-24,64085
2013-01-25,65849
2013-01-26,57148
2013-01-27,61617
2013-01-28,54967
2013-01-29,53128
2013-01-30,54709
2013-01-31,65132
2013-02-01,65868
2013-02-02,64298
2013-02-03,67938
2013-02-04,83358
2013-02-05,68419
2013-02-06,67331
2013-02-07,65156
2013-02-08,66155
2013-02-09,56541
2013-02-10,62921
2013-02-11,57411
2013-02-12,51033
2013-02-13,58578
2013-02-14,56569
2013-02-15,56131
2013-02-16,57739
2013-02-17,59097
2013-02-18,83375
2013-02-19,70152
2013-02-20,65796
2013-02-21,63619
2013-02-22,65581
2013-02-23,56146
2013-02-24,62485
2013-02-25,53686
2013-02-26,52561
2013-02-27,57288
2013-02-28,67107
2013-03-01,65838
2013-03-02,64907
2013-03-03,68761
2013-03-04,87383
2013-03-05,72315
2013-03-06,69558
2013-03-07,66264
2013-03-08,67035
2013-03-09,56869
2013-03-10,63360
2013-03-11,56435
2013-03-12,53505
2013-03-13,55460
2013-03-14,55801
2013-03-15,60948
2013-03-16,57925
2013-03-17,60184
2013-03-18,79786
2013-03-19,68654
2013-03-20,66045
2013-03-21,67018
2013-03-22,67202
2013-03-23,58536
2013-03-24,64300
2013-03-25,81888
2013-03-26,72588
2013-03-27,76471
2013-03-28,95372
2013-03-29,80714
2013-03-30,86486
2013-03-31,64485
2013-04-01,38352
2013-04-02,78939
2013-04-03,62020
2013-04-04,60384
2013-04-05,60330
2013-04-06,59508
2013-04-07,61234
2013-04-08,82762
2013-04-09,70140
2013-04-10,67604
2013-04-11,66846
2013-04-12,67808
2013-04-13,59303
2013-04-14,66491
2013-04-15,57032
2013-04-16,56598
2013-04-17,53893
2013-04-18,57323
2013-04-19,59226
2013-04-20,58486
2013-04-21,54894
2013-04-22,80583
2013-04-23,66859
2013-04-24,64723
2013-04-25,63413
2013-04-26,66861
2013-04-27,62565
2013-04-28,67421
2013-04-29,103291
2013-04-30,104305
2013-05-01,71349
2013-05-02,97149
2013-05-03,87459
2013-05-04,65241
2013-05-05,85639
2013-05-06,68082
2013-05-07,64370
2013-05-08,72277
2013-05-09,68703
2013-05-10,81432
2013-05-11,66026
2013-05-12,51347
2013-05-13,88097
2013-05-14,74710
2013-05-15,68524
2013-05-16,70178
2013-05-17,72101
2013-05-18,61883
2013-05-19,70540
2013-05-20,47339
2013-05-21,68567
2013-05-22,58003
2013-05-23,58056
2013-05-24,58565
2013-05-25,56928
2013-05-26,58599
2013-05-27,85808
2013-05-28,72267
2013-05-29,71937
2013-05-30,76642
2013-05-31,93300
2013-06-01,68796
2013-06-02,74157
2013-06-03,92286
2013-06-04,76472
2013-06-05,71309
2013-06-06,70479
2013-06-07,73642
2013-06-08,62274
2013-06-09,67075
2013-06-10,66081
2013-06-11,61089
2013-06-12,56731
2013-06-13,56601
2013-06-14,63589
2013-06-15,61082
2013-06-16,62327
2013-06-17,90356
2013-06-18,73209
2013-06-19,66099
2013-06-20,65199
2013-06-21,76845
2013-06-22,61606
2013-06-23,67918
2013-06-24,63330
2013-06-25,51039
2013-06-26,55774
2013-06-27,58176
2013-06-28,70543
2013-06-29,65443
2013-06-30,67876
2013-07-01,94513
2013-07-02,79456
2013-07-03,70446
2013-07-04,73287
2013-07-05,85276
2013-07-06,60436
2013-07-07,70848
2013-07-08,69163
2013-07-09,61462
2013-07-10,65081
2013-07-11,63855
2013-07-12,66404
2013-07-13,62696
2013-07-14,60882
2013-07-15,117657
2013-07-16,86259
2013-07-17,75568
2013-07-18,76095
2013-07-19,78776
2013-07-20,57953
2013-07-21,70937
2013-07-22,58198
2013-07-23,54623
2013-07-24,55210
2013-07-25,56565
2013-07-26,57302
2013-07-27,53536
2013-07-28,55797
2013-07-29,96752
2013-07-30,87087
2013-07-31,92693
2013-08-01,83640
2013-08-02,76439
2013-08-03,63891
2013-08-04,74653
2013-08-05,79292
2013-08-06,67820
2013-08-07,65970
2013-08-08,63844
2013-08-09,63961
2013-08-10,57466
2013-08-11,61751
2013-08-12,101880
2013-08-13,79203
2013-08-14,76584
2013-08-15,74938
2013-08-16,74461
2013-08-17,53786
2013-08-18,63375
2013-08-19,63396
2013-08-20,58290
2013-08-21,53786
2013-08-22,54993
2013-08-23,57455
2013-08-24,54115
2013-08-25,55517
2013-08-26,90515
2013-08-27,72100
2013-08-28,70510
2013-08-29,70452
2013-08-30,86627
2013-08-31,63489
2013-09-01,73519
2013-09-02,66100
2013-09-03,59560
2013-09-04,57634
2013-09-05,53310
2013-09-06,57651
2013-09-07,56707
2013-09-08,55886
2013-09-09,92884
2013-09-10,76864
2013-09-11,72738
2013-09-12,71220
2013-09-13,73798
2013-09-14,56422
2013-09-15,67143
2013-09-16,61804
2013-09-17,54503
2013-09-18,49564
2013-09-19,54974
2013-09-20,54706
2013-09-21,56472
2013-09-22,55382
2013-09-23,79158
2013-09-24,69186
2013-09-25,65510
2013-09-26,64702
2013-09-27,72345
2013-09-28,58778
2013-09-29,65271
2013-09-30,71601
2013-10-01,63231
2013-10-02,69900
2013-10-03,66388
2013-10-04,73716
2013-10-05,58296
2013-10-06,45655
2013-10-07,91538
2013-10-08,74016
2013-10-09,66889
2013-10-10,66251
2013-10-11,69065
2013-10-12,57787
2013-10-13,64365
2013-10-14,63266
2013-10-15,51965
2013-10-16,54795
2013-10-17,51850
2013-10-18,56912
2013-10-19,57532
2013-10-20,55428
2013-10-21,86085
2013-10-22,70261
2013-10-23,66330
2013-10-24,65633
2013-10-25,66920
2013-10-26,56157
2013-10-27,62900
2013-10-28,53692
2013-10-29,57208
2013-10-30,62419
2013-10-31,72774
2013-11-01,68102
2013-11-02,69759
2013-11-03,63640
2013-11-04,89883
2013-11-05,80165
2013-11-06,71907
2013-11-07,68561
2013-11-08,73431
2013-11-09,62545
2013-11-10,68176
2013-11-11,61958
2013-11-12,56065
2013-11-13,58166
2013-11-14,56741
2013-11-15,63987
2013-11-16,62429
2013-11-17,61048
2013-11-18,90156
2013-11-19,77554
2013-11-20,68921
2013-11-21,71144
2013-11-22,74028
2013-11-23,61817
2013-11-24,68994
2013-11-25,70283
2013-11-26,63375
2013-11-27,66325
2013-11-28,67687
2013-11-29,85422
2013-11-30,85674
2013-12-01,79590
2013-12-02,109079
2013-12-03,94050
2013-12-04,88827
2013-12-05,90237
2013-12-06,73445
2013-12-07,69527
2013-12-08,77731
2013-12-09,71851
2013-12-10,68000
2013-12-11,67303
2013-12-12,67914
2013-12-13,70708
2013-12-14,71749
2013-12-15,70120
2013-12-16,129428
2013-12-17,105808
2013-12-18,103580
2013-12-19,101351
2013-12-20,106047
2013-12-21,92440
2013-12-22,99942
2013-12-23,131575
2013-12-24,51988
2013-12-25,61183
2013-12-26,61183
2013-12-27,74041
2013-12-28,65793
2013-12-29,46608
2013-12-30,96986
2013-12-31,49398
2014-01-01,48792
2014-01-02,68690
2014-01-03,66123
2014-01-04,61690
2014-01-05,65497
2014-01-06,87607
2014-01-07,92369
2014-01-08,75039
2014-01-09,69866
2014-01-10,74564
2014-01-11,61202
2014-01-12,68540
2014-01-13,61453
2014-01-14,55700
2014-01-15,55329
2014-01-16,53861
2014-01-17,59222
2014-01-18,61321
2014-01-19,58130
2014-01-20,90186
2014-01-21,72494
2014-01-22,71242
2014-01-23,67497
2014-01-24,70213
2014-01-25,58299
2014-01-26,65333
2014-01-27,53826
2014-01-28,56145
2014-01-29,54667
2014-01-30,58356
2014-01-31,74407
2014-02-01,67173
2014-02-02,66643
2014-02-03,104341
2014-02-04,84807
2014-02-05,74049
